"","hdi_cat"
"1","high"
"2","high"
"3","medium"
"4","high"
"5","very high"
"6","high"
"7","very high"
"8","very high"
"9","high"
"10","very high"
"11","very high"
"12","medium"
"13","very high"
"14","very high"
"15","very high"
"16","high"
"17","low"
"18","medium"
"19","high"
"20","high"
"21","high"
"22","high"
"23","very high"
"24","very high"
"25","low"
"26","low"
"27","medium"
"28","medium"
"29","very high"
"30","low"
"31","low"
"32","very high"
"33","high"
"34","high"
"35","medium"
"36","low"
"37","medium"
"38","very high"
"39","low"
"40","very high"
"41","high"
"42","very high"
"43","very high"
"44","very high"
"45","low"
"46","high"
"47","high"
"48","high"
"49","high"
"50","medium"
"51","medium"
"52","low"
"53","very high"
"54","medium"
"55","low"
"56","high"
"57","very high"
"58","very high"
"59","high"
"60","low"
"61","very high"
"62","very high"
"63","medium"
"64","very high"
"65","high"
"66","medium"
"67","low"
"68","low"
"69","medium"
"70","low"
"71","medium"
"72","very high"
"73","very high"
"74","very high"
"75","medium"
"76","high"
"77","high"
"78","medium"
"79","very high"
"80","very high"
"81","very high"
"82","high"
"83","very high"
"84","high"
"85","very high"
"86","medium"
"87","medium"
"88","very high"
"89","very high"
"90","medium"
"91","medium"
"92","very high"
"93","high"
"94","low"
"95","low"
"96","high"
"97","very high"
"98","very high"
"99","low"
"100","low"
"101","very high"
"102","high"
"103","low"
"104","very high"
"105","high"
"106","low"
"107","very high"
"108","high"
"109","medium"
"110","high"
"111","high"
"112","very high"
"113","medium"
"114","low"
"115","medium"
"116","medium"
"117","medium"
"118","very high"
"119","very high"
"120","medium"
"121","low"
"122","low"
"123","high"
"124","very high"
"125","very high"
"126","medium"
"127","very high"
"128","very high"
"129","medium"
"130","high"
"131","high"
"132","high"
"133","very high"
"134","very high"
"135","very high"
"136","very high"
"137","very high"
"138","low"
"139","high"
"140","medium"
"141","very high"
"142","low"
"143","very high"
"144","high"
"145","low"
"146","very high"
"147","very high"
"148","very high"
"149","medium"
"150","high"
"151","low"
"152","very high"
"153","high"
"154","high"
"155","high"
"156","low"
"157","high"
"158","very high"
"159","very high"
"160","medium"
"161","medium"
"162","low"
"163","high"
"164","medium"
"165","low"
"166","high"
"167","high"
"168","high"
"169","very high"
"170","high"
"171","low"
"172","high"
"173","very high"
"174","very high"
"175","very high"
"176","very high"
"177","high"
"178","medium"
"179","high"
"180","high"
"181","high"
"182","low"
"183","medium"
"184","medium"
